Name,Date,Time,Venue,Address,Tickets Buying Urls,Filter
A Beautiful Noise - The Neil Diamond Musical,"1 Feb,2 Feb","2:00 pm GMT-5,1:00 am GMT-5",Broadhurst Theatre,"235 W 44th St, New York, NY, United States",https://www.vividseats.com/a-beautiful-noise-tickets-new-york-broadhurst-theatre-2-1-2023--theater-musical/production/3987898?utm_medium=organic&utm_source=google_eventsearch | https://www.ticketsmarter.com/e/a-beautiful-noise-the-neil-diamond-musical-tickets-new-york-2-1-2023-broadhurst-theatre/5191895 | https://www.closeseats.com/new-york/broadway/a-beautiful-noise-the-neil-diamond-musical-tickets/5191896 | https://www.ticketsource.com/2093978/A-Beautiful-Noise | https://www.meetandgreetticket.com/Events/5191895/A-Beautiful-Noise-The-Neil-Diamond-Musical-Tickets,today
Metronomy - BRITs Week 2023 presented by Mastercard for War Child,1 Feb,"2:00 pm GMT-5,6:00 pm GMT-5",HERE at Outernet,"Charing Cross Rd, London, United Kingdom",https://www.axs.com/uk/events/451445/metronomy-tickets | https://dice.fm/event/vr2kd-metronomy-2nd-may-great-hall-at-avant-gardner-new-york-tickets | https://www.avant-gardner.com/events/2022/5/2/metronomy | https://www.facebook.com/events/avant-gardner/metronomy-brooklyn-ny/943678899846953/ | https://britsweek.warchild.org.uk/prize-draws/metronomydraw?utm_source=website&utm_medium=splash&utm_campaign=brits_week_2023,today
Kompa Tuesdays at Katra Lounge,"31 Jan,1 Feb","6:00 pm GMT-5,2:00 am GMT-5",Katra Lounge & Event Space,"217 Bowery, New York, NY, United States",https://www.eventbrite.com/e/kompa-tuesdays-at-katra-lounge-tickets-289842164717?aff=ebdiayyoutube | https://allevents.in/new%20york/kompa-tuesdays-at-katra-lounge/10000289842164717?ref=eventlist-cat,today
Texworld USA,"31 Jan,2 Feb","2:00 am GMT-5,2:00 pm GMT-5",Javits Center,"429 11th Ave, New York, NY, United States",https://kohantextilejournal.com/events/texworld-new-york-city-2023/ | https://hk.messefrankfurt.com/hongkong/en/events/textiles-textile-technologies-outgoing/texworld_usa_spring.html | https://fashionunited.com.br/eventos/Texworld-NYC-USA | https://www.fibre2fashion.com/trade-fairs/apparel-sourcing-usa-2023-60248 | https://textalks.com/events/texworld-new-york-city/,today
Intro To Stand Up Comedy Class in Brooklyn,"15 Jan,12 Feb","3:00 pm GMT-5,6:00 pm GMT-5",The Tiny Cupboard,"10 Cooper St, Brooklyn, NY, United States",https://www.eventbrite.com/e/intro-to-stand-up-comedy-class-in-brooklyn-tickets-503876547317,today
Jackie Hoffman: It’s Over. Who Has Weed?,"23 Jan,17 Feb","9:30 pm GMT-5,12:00 am GMT-5",Joe's Pub,"425 Lafayette St, New York, NY, United States",https://www.timeout.com/newyork/music/jackie-hoffman-its-over-who-has-weed | https://publictheater.org/productions/joes-pub/2023/j/jackie-hoffman/ | https://donyc.com/events/2023/1/23/jackie-hoffman-it-s-over-who-has-weed-tickets | http://events.wfuv.org/events/2023/1/23/jackie-hoffman-it-s-over-who-has-weed-tickets,today
GYAL,"20 Jan,18 Mar","10:00 pm GMT-5,4:00 am GMT-5",The Dean NYC,"214 W 39th St Unit #5, New York, NY, United States",https://www.eventbrite.com/e/gyal-tickets-483394785817 | https://www.unation.com/event/gyal-13881352 | http://gomag.com/event/gyal/ | https://allevents.in/new%20york/gyal/10000483394785817?ref=eventlist-cat,today
Sex-Ed,"1 Feb,3 Feb","7:00 pm GMT-5,9:30 pm GMT-5",House of Yes,"2 Wyckoff Ave, Brooklyn, NY, United States",https://www.eventbrite.com/e/sex-ed-tickets-480710276377 | https://allevents.in/brooklyn/sex-ed/10000480710647487 | https://donyc.com/events/2023/2/1/sex-ed-tickets,today
EastVille Open Mic Spectacular,1 Feb,"5:30 pm GMT-5,7:30 pm GMT-5",EastVille Comedy Club,"487 Atlantic Ave, Brooklyn, NY, United States",https://tixel.com/comedy-tickets/2023/02/01/eastville-open-mic-spectacular | https://www.eventbrite.com/e/eastville-open-mic-spectacular-tickets-396728755387 | https://allevents.in/brooklyn/eastville-open-mic-spectacular/10000396730961987 | https://www.livenation.com/event/G5e0Z9FT9Ek7Y/laughing-buddha-open-mic-spectacular | https://local.aarp.org/event/laughing-buddha-open-mic-spectacular-2023-02-01-tm-brooklyn-ny.html,today
NYC Broadway Week,"17 Jan,12 Feb",,,"New York, NY, USA",https://www.nycinsiderguide.com/broadway-week-new-york-city,today
